Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BERGEPAINT.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DABUR.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,MARICO.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,PIDILITIND.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS
2021-06-10,1608.0938720703125,821.9550170898438,3282.77783203125,2838.21044921875,741.1553955078125,1196.617919921875,596.201416015625,657.2672119140625,522.9885864257812,172.05328369140625,3367.850830078125,929.6276245117188,103.25878143310547,531.018798828125,4241.53564453125,1025.6597900390625,2578.99853515625,790.6251831054688,701.4072875976562,678.859619140625,2533.840087890625,371.9375305175781,2187.557373046875,619.386962890625,989.2188720703125,1267.370361328125,57.04801940917969,164.80078125,668.1248779296875,358.4126281738281,1428.158447265625,466.49237060546875,6900.65576171875,834.44140625,98.76679992675781,90.72102355957031,1040.7769775390625,105.06303405761719,985.2848510742188,988.3260498046875,395.3995056152344,643.4647216796875,95.94049072265625,2803.632568359375,893.8187255859375,1712.0218505859375,6528.408203125,130.1944122314453,256.0355224609375
2021-06-11,1597.7191162109375,815.159912109375,3293.487548828125,2843.64501953125,735.3795166015625,1188.0770263671875,599.49267578125,654.8301391601562,518.8634643554688,172.0711212158203,3350.52294921875,923.568115234375,107.31655883789062,535.9974975585938,4204.6259765625,1056.853759765625,2618.4208984375,802.706298828125,703.9172973632812,672.309814453125,2529.9248046875,379.41680908203125,2176.24609375,614.8411254882812,980.2861938476562,1287.480224609375,56.62981033325195,163.69842529296875,692.1690063476562,357.3769836425781,1412.88720703125,463.3858642578125,6923.56201171875,833.5048828125,99.01685333251953,90.4282455444336,1033.308837890625,107.08473205566406,1002.375244140625,978.96337890625,392.97540283203125,648.4617309570312,99.7197494506836,2853.311279296875,900.6173095703125,1701.97802734375,6482.87255859375,132.4478302001953,256.0586853027344
2021-06-14,1497.811767578125,745.94775390625,3306.961181640625,2837.537353515625,733.188720703125,1189.93798828125,606.756103515625,657.7138671875,517.4244384765625,172.10667419433594,3381.928955078125,931.4883422851562,105.13920593261719,539.0796508789062,4256.57080078125,1058.47216796875,2617.038818359375,803.4000854492188,700.6494750976562,671.4235229492188,2514.17724609375,381.0091552734375,2190.233154296875,614.3092041015625,989.1707153320312,1300.738525390625,56.457603454589844,163.2259979248047,690.2283325195312,352.13885498046875,1424.446533203125,465.786376953125,6879.521484375,835.4583740234375,98.51676177978516,91.3431396484375,1032.33251953125,108.128173828125,1016.7555541992188,977.031494140625,393.6614685058594,644.4642333984375,100.27500915527344,2855.534423828125,897.4698486328125,1708.2308349609375,6498.10009765625,131.3211212158203,259.4308776855469
2021-06-15,1535.1209716796875,739.541015625,3255.73095703125,2926.3212890625,747.77783203125,1177.2215576171875,603.5236206054688,669.16796875,520.4463500976562,171.46620178222656,3420.162841796875,925.3335571289062,103.68763732910156,545.1015625,4183.818359375,1048.6845703125,2634.724365234375,804.4205322265625,705.7642822265625,682.1099243164062,2532.197998046875,377.1971740722656,2215.565673828125,624.1260986328125,998.9725952148438,1311.50537109375,56.94961929321289,163.0291290283203,686.3946533203125,352.7064514160156,1419.794677734375,476.4708251953125,6868.40380859375,840.5584106445312,98.18338012695312,91.74568939208984,1043.1685791015625,107.64993286132812,1019.0653686523438,986.6417846679688,392.8839416503906,640.7521362304688,101.09284973144531,2843.6806640625,895.455322265625,1697.0054931640625,6488.17578125,129.90675354003906,257.7216796875
2021-06-16,1444.79052734375,686.0059814453125,3251.68408203125,2903.716064453125,746.6823120117188,1182.95361328125,595.7312622070312,664.415771484375,514.9301147460938,171.2349090576172,3427.31982421875,912.9759521484375,102.63198852539062,550.601806640625,4171.8388671875,1047.763916015625,2613.320556640625,799.4820556640625,703.08837890625,681.7159423828125,2505.5458984375,366.9674072265625,2230.33984375,619.0967407226562,978.9342041015625,1317.4671630859375,57.023414611816406,163.65907287597656,667.7461547851562,350.655029296875,1401.0933837890625,476.2825927734375,6818.5654296875,853.8858032226562,99.85033416748047,92.73377990722656,1040.1912841796875,105.28043365478516,1001.6732177734375,982.6292114257812,389.6365661621094,636.3262329101562,98.32512664794922,2853.790771484375,897.385986328125,1688.6846923828125,6409.46044921875,126.74242401123047,256.4974670410156
2021-06-17,1364.3858642578125,627.9570922851562,3198.776123046875,2943.732421875,735.5288696289062,1179.2020263671875,592.660400390625,666.3652954101562,507.1593933105469,169.68714904785156,3444.929443359375,907.44140625,100.38866424560547,543.5841064453125,4173.439453125,1024.5841064453125,2549.156494140625,805.1961059570312,694.3270874023438,689.7430419921875,2453.92626953125,356.3517150878906,2239.4169921875,612.229736328125,950.301025390625,1330.547607421875,56.383819580078125,161.92678833007812,659.17919921875,351.74053955078125,1397.9449462890625,487.9083557128906,6679.68798828125,858.3464965820312,97.84998321533203,91.56269073486328,1038.38525390625,104.28044891357422,1003.5076293945312,974.2077026367188,384.4225158691406,632.994873046875,97.1457290649414,2891.616455078125,906.7025756835938,1685.1890869140625,6523.73828125,125.25607299804688,258.09124755859375
2021-06-18,1483.8955078125,674.017578125,3179.92236328125,2931.130859375,733.2384643554688,1197.241455078125,596.2651977539062,670.6707763671875,516.8487548828125,168.06820678710938,3408.25,916.9360961914062,96.59480285644531,547.28271484375,4071.53662109375,1024.0804443359375,2581.381591796875,796.09423828125,700.8152465820312,698.5088500976562,2434.7685546875,358.3783264160156,2299.809326171875,609.715087890625,961.2619018554688,1337.6661376953125,55.252201080322266,161.06063842773438,634.8037719726562,350.6252136230469,1387.0906982421875,490.5913391113281,6670.103515625,839.8858642578125,94.6410903930664,88.01292419433594,1037.506591796875,101.3022232055664,1008.0367431640625,973.4647216796875,377.6991271972656,636.2786254882812,96.1379623413086,2873.793212890625,898.6868286132812,1685.0908203125,6513.08349609375,120.65340423583984,253.97988891601562
2021-06-21,1536.268310546875,709.6429443359375,3196.209716796875,2951.667724609375,736.4749755859375,1212.9112548828125,599.1009521484375,672.4172973632812,517.6642456054688,169.0288848876953,3436.171630859375,916.220458984375,97.32057189941406,542.2091674804688,4102.38427734375,1023.7119750976562,2572.705810546875,801.6043701171875,705.0302124023438,707.9148559570312,2437.71533203125,354.7593078613281,2328.9404296875,610.5371704101562,972.9950561523438,1334.996826171875,55.424400329589844,160.98191833496094,637.0283813476562,352.935546875,1378.679931640625,489.50872802734375,6613.12353515625,838.8638916015625,98.35005950927734,88.52525329589844,1049.8802490234375,102.10657501220703,1013.2905883789062,972.4739379882812,383.9651184082031,638.9912109375,97.3569564819336,2852.70166015625,892.1400146484375,1716.1573486328125,6592.47998046875,121.94788360595703,250.44601440429688
2021-06-22,1537.8643798828125,721.14599609375,3216.14892578125,2896.11767578125,736.2757568359375,1210.4417724609375,589.3836059570312,656.698486328125,514.5943603515625,168.53074645996094,3438.102294921875,912.1171875,98.11234283447266,537.3726196289062,4160.24755859375,1028.819091796875,2591.53515625,800.0533447265625,702.7096557617188,705.945068359375,2447.989013671875,354.7110290527344,2306.6171875,610.1502075195312,965.8006591796875,1345.274169921875,56.01480484008789,161.49371337890625,639.2055053710938,349.9579772949219,1408.893310546875,485.60205078125,6963.43310546875,828.7590942382812,98.60011291503906,89.33036804199219,1048.3914794921875,101.75875091552734,1008.08203125,997.688720703125,382.95892333984375,634.6605224609375,97.89825439453125,2877.192138671875,887.3555908203125,1730.0909423828125,6673.67626953125,121.01294708251953,257.0980529785156
2021-06-23,1501.1036376953125,697.654541015625,3202.921630859375,2873.560546875,729.3048706054688,1225.4678955078125,589.2661743164062,654.8301391601562,512.33984375,167.08970642089844,3446.0126953125,913.9302368164062,97.94739532470703,537.1829223632812,4098.01904296875,1027.0745849609375,2601.45068359375,794.176025390625,703.5147094726562,706.9300537109375,2465.92529296875,355.2418518066406,2297.586181640625,604.2020874023438,965.2694702148438,1337.5325927734375,55.547401428222656,160.58824157714844,629.9760131835938,345.8949279785156,1390.1451416015625,485.2725830078125,7123.78076171875,827.7252807617188,97.72496795654297,90.28185272216797,1041.2161865234375,100.97615814208984,998.842529296875,991.29833984375,383.141845703125,633.1851806640625,96.82447814941406,2842.50439453125,886.72607421875,1755.2493896484375,6716.876953125,120.46159362792969,249.52206420898438
